Row number,Date,Hr,Mainland Air Temp,Humidity (%),Direction (A),Wind Speed (A),Gusting,Atmospheric Pressure (IN),Precipitation Rate,Bay Temp,Salinity,LBI Air Temp,Ocean Temp,Onshore,upwelling_flag
695,6/29/2025,21,26.6,77.0,10,3.4,5.0,29.91,0.0,25.34,28.66,28.1,22.2,0,0
696,6/29/2025,22,25.8,81.0,10,2.0,4.7,29.92,0.0,25.21,28.64,27.4,22.3,0,0
697,6/29/2025,23,25.7,82.0,9,3.0,4.8,29.93,0.0,25.2,29.22,27.2,22.4,0,0
698,6/30/2025,0,25.2,84.0,11,1.8,3.5,29.93,0.0,24.93,29.14,27.2,22.3,0,0
699,6/30/2025,1,24.4,86.0,9,2.0,3.0,29.93,0.0,24.74,29.57,26.6,22.2,0,0
700,6/30/2025,2,23.8,88.0,9,1.5,3.1,29.93,0.0,24.56,29.66,26.2,22.2,0,0
701,6/30/2025,3,23.3,90.0,10,2.4,3.3,29.93,0.0,24.75,29.12,25.9,22.1,0,0
702,6/30/2025,4,23.4,91.0,8,2.6,3.5,29.93,0.0,25.2,28.69,25.8,21.8,1,0
703,6/30/2025,5,23.4,92.0,11,1.8,3.0,29.94,0.0,25.03,28.43,25.6,21.6,0,0
704,6/30/2025,6,23.6,92.0,13,3.2,6.0,29.96,0.0,24.99,28.83,25.4,21.8,0,0
705,6/30/2025,7,23.7,92.0,14,0.0,0.0,29.97,0.0,24.96,28.38,25.2,21.5,0,0
706,6/30/2025,8,24.3,93.0,1,1.8,3.2,29.96,0.0,24.97,28.55,25.5,21.7,1,0
707,6/30/2025,9,27.3,86.0,15,1.2,2.4,29.96,0.0,25.03,28.38,26.2,22.0,0,0
708,6/30/2025,10,31.3,70.0,8,2.5,5.1,29.96,0.0,25.19,28.74,27.3,22.2,1,0
709,6/30/2025,11,33.9,60.0,4,1.6,3.2,29.96,0.0,25.23,28.82,29.7,22.3,1,0
710,6/30/2025,12,34.2,57.0,9,5.4,8.2,29.96,0.0,25.2,29.02,28.9,22.2,0,0
711,6/30/2025,13,34.5,52.0,8,8.0,14.2,29.95,0.0,25.43,29.18,28.1,22.4,1,0
712,6/30/2025,14,29.8,65.0,8,6.8,10.2,29.93,0.0,25.23,29.18,26.9,22.1,1,0
713,6/30/2025,15,27.6,75.0,9,5.2,9.0,29.93,0.0,25.27,29.11,26.1,21.8,0,0
714,6/30/2025,16,25.4,87.0,8,3.5,5.3,29.94,0.0,25.57,29.09,25.6,21.7,1,0
715,6/30/2025,17,25.1,90.0,9,0.8,2.0,29.92,0.0,25.59,29.09,25.9,21.8,0,0
716,6/30/2025,18,25.1,92.0,10,0.9,1.9,29.9,0.0,25.26,29.02,25.2,21.6,0,0
717,6/30/2025,19,25.2,93.0,8,3.6,4.8,29.88,0.0,25.27,28.39,24.9,21.9,1,0
718,6/30/2025,20,24.7,91.0,8,3.9,7.4,29.88,0.0,25.53,28.67,24.8,22.0,1,0
719,6/30/2025,21,24.6,93.0,9,6.6,9.9,29.88,0.0,25.38,28.94,25.1,22.2,0,0
720,6/30/2025,22,24.8,93.0,8,9.5,12.2,29.88,0.0,25.19,29.3,25.8,22.1,1,0
721,6/30/2025,23,24.7,93.0,9,5.9,8.0,29.88,0.0,24.76,29.31,25.6,22.2,0,0
722,7/1/2025,0,24.9,93.0,10,5.2,9.5,29.87,0.0,25.09,29.2,25.3,22.3,0,0
723,7/1/2025,1,24.6,93.0,13,1.1,2.4,29.87,0.0,25.1,29.41,26.1,22.2,0,0
724,7/1/2025,2,24.4,93.0,9,1.8,2.9,29.85,0.0,24.93,29.39,25.9,21.9,0,0
725,7/1/2025,3,24.3,93.0,14,8.0,15.6,29.87,0.0,24.85,29.33,26.2,22.0,0,0
726,7/1/2025,4,23.6,91.0,9,2.5,2.9,29.84,0.0,25.08,29.15,25.6,22.0,0,0
727,7/1/2025,5,23.1,91.0,8,1.2,2.4,29.84,0.0,25.12,28.97,25.3,21.7,1,0
728,7/1/2025,6,23.1,91.0,8,2.2,3.9,29.83,0.0,25.11,28.81,24.8,21.7,1,0
729,7/1/2025,7,24.6,93.0,8,4.9,7.6,29.84,0.0,25.0,28.91,25.2,21.5,1,0
730,7/1/2025,8,26.2,92.0,9,6.3,9.9,29.84,0.0,25.27,28.31,26.7,21.4,0,0
731,7/1/2025,9,28.8,83.0,10,6.0,10.3,29.84,0.0,25.55,28.02,27.6,21.6,0,0
732,7/1/2025,10,31.1,75.0,10,7.1,11.9,29.83,0.0,25.8,27.75,27.2,22.0,0,0
733,7/1/2025,11,33.0,68.0,10,6.7,12.2,29.82,0.0,26.02,27.95,28.7,22.1,0,0
734,7/1/2025,12,34.6,63.0,9,7.9,12.5,29.82,0.0,26.22,28.31,27.9,22.2,0,0
735,7/1/2025,13,33.3,67.0,9,8.7,13.3,29.8,0.0,25.5,29.06,28.1,22.2,0,0
736,7/1/2025,14,27.7,82.0,6,2.2,6.1,29.8,0.0,25.76,29.04,27.3,22.2,1,0
737,7/1/2025,15,29.4,80.0,8,6.3,10.2,29.78,0.0,25.72,29.17,25.9,22.2,1,0
738,7/1/2025,16,31.2,75.0,9,14.4,22.2,29.76,0.0,25.9,29.21,26.9,22.2,0,0
739,7/1/2025,17,30.3,75.0,9,11.9,18.0,29.75,0.0,26.36,29.14,27.6,22.1,0,0
740,7/1/2025,18,28.2,75.0,0,6.0,9.3,29.78,0.0,25.93,29.14,27.7,21.9,0,0
741,7/1/2025,19,25.7,83.0,8,3.8,8.0,29.81,0.0,25.64,28.98,25.8,22.1,1,0
742,7/1/2025,20,23.5,90.0,9,4.0,6.2,29.81,0.0,25.65,28.53,24.1,22.2,0,0
743,7/1/2025,21,23.2,92.0,9,3.2,4.0,29.8,0.0,25.61,28.54,24.4,22.4,0,0
744,7/1/2025,22,23.2,93.0,9,3.1,5.5,29.8,0.0,25.67,28.1,23.9,22.3,0,0
745,7/1/2025,23,23.7,94.0,8,7.5,10.5,29.79,0.0,25.59,28.08,23.6,22.1,1,0
746,7/2/2025,0,23.6,95.0,10,4.3,7.4,29.8,0.0,25.52,28.49,24.9,22.0,0,0
747,7/2/2025,1,23.1,95.0,11,4.6,7.3,29.81,0.0,25.32,28.78,25.2,21.7,0,0
748,7/2/2025,2,22.9,95.0,11,2.0,6.1,29.81,0.0,25.36,28.64,24.5,21.7,0,0
749,7/2/2025,3,22.9,95.0,10,1.9,3.9,29.81,0.0,25.48,28.52,24.4,21.6,0,0
750,7/2/2025,4,22.9,95.0,11,3.5,7.7,29.81,0.0,25.34,28.49,24.6,21.6,0,0
751,7/2/2025,5,22.6,95.0,14,2.2,4.8,29.82,0.0,25.38,28.4,24.2,21.6,0,0
752,7/2/2025,6,22.0,96.0,10,1.8,3.6,29.84,0.0,25.51,27.96,23.4,21.6,0,0
753,7/2/2025,7,21.4,95.0,14,1.5,2.7,29.84,0.0,25.52,27.68,23.2,21.6,0,0
754,7/2/2025,8,21.1,95.0,14,1.8,2.8,29.84,0.0,25.53,27.36,23.1,21.6,0,0
755,7/2/2025,9,21.2,95.0,11,2.5,4.4,29.88,0.0,25.55,26.87,23.1,21.7,0,0
756,7/2/2025,10,21.1,96.0,14,0.2,1.0,29.87,0.0,25.66,26.56,22.3,21.7,0,0
757,7/2/2025,11,21.7,96.0,14,1.4,3.6,29.88,0.0,25.84,26.39,22.3,21.7,0,0
758,7/2/2025,12,22.2,96.0,9,2.2,3.5,29.88,0.0,25.73,26.82,22.8,21.7,0,0
759,7/2/2025,13,22.6,95.0,11,1.0,2.9,29.86,0.0,25.37,27.37,23.1,21.7,0,0
760,7/2/2025,14,23.2,94.0,10,2.8,4.0,29.84,0.0,25.16,27.54,22.5,21.6,0,0
761,7/2/2025,15,25.7,81.0,11,3.0,6.4,29.83,0.0,25.43,27.91,24.3,21.7,0,0
762,7/2/2025,16,27.6,76.0,9,3.8,6.4,29.83,0.0,25.42,28.21,23.9,21.7,0,0
763,7/2/2025,17,27.4,79.0,9,5.7,10.3,29.82,0.0,25.47,28.19,23.8,21.7,0,0
764,7/2/2025,18,26.5,81.0,8,6.4,10.3,29.81,0.0,25.56,28.13,23.6,21.7,1,0
765,7/2/2025,19,26.8,81.0,9,4.0,6.8,29.81,0.0,25.68,28.24,23.6,21.8,0,0
766,7/2/2025,20,25.1,83.0,9,5.0,7.9,29.8,0.0,25.61,28.15,23.2,22.1,0,0
767,7/2/2025,21,23.3,88.0,9,4.8,8.5,29.82,0.0,25.39,28.19,23.2,22.5,0,0
768,7/2/2025,22,22.4,91.0,9,4.0,6.0,29.82,0.0,25.43,27.92,24.2,22.6,0,0
769,7/2/2025,23,21.7,92.0,10,2.4,3.7,29.82,0.0,25.38,27.81,24.6,22.4,0,0
770,7/3/2025,0,21.3,93.0,10,3.1,6.1,29.82,0.0,25.01,28.08,23.9,22.2,0,0
771,7/3/2025,1,23.1,95.0,10,3.9,7.7,29.81,0.0,24.94,28.26,23.9,22.1,0,0
772,7/3/2025,2,22.9,95.0,11,3.3,5.9,29.81,0.0,25.15,27.66,23.9,22.2,0,0
773,7/3/2025,3,21.1,95.0,11,3.7,7.7,29.81,0.0,25.05,27.66,23.2,22.1,0,0
774,7/3/2025,4,21.1,95.0,10,3.2,5.0,29.81,0.0,24.84,27.9,24.5,21.9,0,0
775,7/3/2025,5,20.7,95.0,11,2.4,4.4,29.81,0.0,24.9,28.3,23.6,21.8,0,0
776,7/3/2025,6,20.3,95.0,11,2.2,4.0,29.92,0.0,24.93,27.44,23.1,21.8,0,0
777,7/3/2025,7,21.3,96.0,11,3.0,5.5,29.82,0.0,25.18,27.32,24.1,21.9,0,0
778,7/3/2025,8,22.7,96.0,13,1.7,3.7,29.82,0.0,25.39,26.62,24.9,21.9,0,0
779,7/3/2025,9,24.8,94.0,14,3.8,6.3,29.92,0.0,25.77,26.61,26.3,22.0,0,0
780,7/3/2025,10,29.9,65.0,11,1.9,3.6,29.82,0.0,26.11,26.05,27.9,22.1,0,0
781,7/3/2025,11,33.6,48.0,12,4.0,8.2,29.83,0.0,26.06,25.8,28.6,22.1,0,0
782,7/3/2025,12,33.4,45.0,13,3.7,8.3,29.82,0.0,26.22,26.06,27.2,22.1,0,0
783,7/3/2025,13,34.2,41.0,11,6.4,10.3,29.81,0.0,26.21,26.72,28.8,22.3,0,0
784,7/3/2025,14,35.2,39.0,12,5.7,10.8,29.8,0.0,26.1,27.07,30.5,22.6,0,0
785,7/3/2025,15,35.2,35.0,10,6.6,12.6,29.79,0.0,26.1,27.34,31.6,23.1,0,0
786,7/3/2025,16,35.4,34.0,11,6.6,13.0,29.78,0.0,26.33,27.41,31.6,23.6,0,0
787,7/3/2025,17,35.1,34.0,11,7.5,14.1,29.77,0.0,26.36,27.68,31.8,23.9,0,0
788,7/3/2025,18,33.3,37.0,11,9.0,16.1,29.78,0.0,26.56,28.07,31.6,23.8,0,0
789,7/3/2025,19,31.8,39.0,11,5.2,10.1,29.79,0.0,26.62,27.83,31.3,24.1,0,0
790,7/3/2025,20,30.3,45.0,11,2.2,5.1,29.81,0.0,26.48,27.4,30.5,23.9,0,0
791,7/3/2025,21,24.0,63.0,15,8.0,16.1,29.88,0.0,25.94,27.47,25.1,23.4,0,0
792,7/3/2025,22,21.2,80.0,1,4.4,7.0,29.91,0.0,25.86,27.03,23.7,23.6,1,0
793,7/3/2025,23,19.7,87.0,13,1.0,2.4,29.91,0.0,26.05,26.57,22.9,23.2,0,0
794,7/4/2025,0,19.9,90.0,11,2.4,3.9,29.92,0.0,26.11,25.8,22.8,23.2,0,0
795,7/4/2025,1,19.1,91.0,14,1.9,3.4,29.93,0.0,25.72,25.97,21.4,23.0,0,0
796,7/4/2025,2,18.3,92.0,14,2.5,4.1,29.94,0.0,25.49,26.34,21.2,22.6,0,0
797,7/4/2025,3,18.1,92.0,12,1.5,4.2,29.94,0.0,25.31,26.43,21.3,22.4,0,0
798,7/4/2025,4,17.3,92.0,12,2.3,3.8,29.95,0.0,25.26,26.65,21.3,22.2,0,0
799,7/4/2025,5,16.9,93.0,14,3.0,4.5,29.96,0.0,25.06,26.68,21.1,22.0,0,0
800,7/4/2025,6,16.8,92.0,14,2.7,4.0,29.98,0.0,24.88,27.04,21.2,21.9,0,0
801,7/4/2025,7,18.1,91.0,15,3.1,5.5,30.0,0.0,24.93,27.02,21.8,21.9,0,0
802,7/4/2025,8,20.3,81.0,14,3.6,8.1,30.01,0.0,25.01,27.03,22.2,22.0,0,0
803,7/4/2025,9,21.8,75.0,15,5.3,10.0,30.02,0.0,25.51,26.78,23.6,22.0,0,0
804,7/4/2025,10,24.2,69.0,14,3.5,7.9,30.03,0.0,25.91,26.27,24.7,21.9,0,0
805,7/4/2025,11,27.2,58.0,13,2.9,6.7,30.03,0.0,26.13,26.07,25.5,21.9,0,0
806,7/4/2025,12,28.5,45.0,14,3.9,8.2,30.02,0.0,26.22,25.92,24.7,21.8,0,0
807,7/4/2025,13,29.2,54.0,10,5.1,10.6,30.02,0.0,26.39,26.13,24.7,21.9,0,0
808,7/4/2025,14,28.7,51.0,6,4.7,9.2,30.03,0.0,26.14,26.48,25.2,22.0,1,0
809,7/4/2025,15,30.6,42.0,7,5.0,8.6,30.04,0.0,25.79,26.94,24.9,22.1,1,0
810,7/4/2025,16,31.2,41.0,7,7.9,11.6,30.03,0.0,26.02,27.46,25.3,22.4,1,0
811,7/4/2025,17,29.2,52.0,8,5.3,9.7,30.03,0.0,25.6,27.3,24.9,23.0,1,0
812,7/4/2025,18,27.8,56.0,9,5.8,8.4,30.05,0.0,25.32,27.97,24.2,23.1,0,0
813,7/4/2025,19,26.3,65.0,9,1.1,2.4,30.08,0.0,25.53,28.67,23.7,23.6,0,0
814,7/4/2025,20,23.7,75.0,6,0.8,1.9,30.07,0.0,25.98,28.1,23.3,23.6,1,0
815,7/4/2025,21,21.7,83.0,8,1.1,2.2,30.07,0.0,25.86,27.65,23.3,23.3,1,0
816,7/4/2025,22,20.8,86.0,9,0.0,1.6,30.08,0.0,25.68,27.2,23.5,23.1,0,0
817,7/4/2025,23,20.2,86.0,9,0.5,1.4,30.09,0.0,25.69,27.08,23.5,22.8,0,0
818,7/5/2025,0,19.8,87.0,9,1.0,1.4,30.09,0.0,25.75,27.29,22.1,22.6,0,0
819,7/5/2025,1,19.8,87.0,9,1.5,2.4,30.08,0.0,25.88,26.8,21.1,22.6,0,0
820,7/5/2025,2,19.3,89.0,8,0.2,0.7,30.09,0.0,25.58,26.82,21.4,22.5,1,0
821,7/5/2025,3,19.1,92.0,11,1.6,2.4,30.08,0.0,25.35,27.07,22.3,22.5,0,0
822,7/5/2025,4,18.6,92.0,13,1.7,2.8,30.09,0.0,25.23,26.73,23.8,22.5,0,0
823,7/5/2025,5,17.3,93.0,14,1.7,2.7,30.1,0.0,25.15,26.84,24.7,22.5,0,0
824,7/5/2025,6,17.1,92.0,9,1.1,2.9,30.11,0.0,25.17,27.0,26.6,22.5,0,0
825,7/5/2025,7,16.8,92.0,14,1.9,2.9,30.12,0.0,25.2,27.13,26.2,22.5,0,0
826,7/5/2025,8,19.6,88.0,15,0.7,2.2,30.13,0.0,25.36,27.14,26.3,22.4,0,0
827,7/5/2025,9,23.3,74.0,15,0.9,1.9,30.12,0.0,25.71,26.96,25.6,22.4,0,0
828,7/5/2025,10,28.7,55.0,10,1.4,2.5,30.14,0.0,25.09,26.22,25.8,22.4,0,0
829,7/5/2025,11,32.2,38.0,9,3.2,6.0,30.14,0.0,26.36,26.02,25.7,22.4,0,0
830,7/5/2025,12,32.3,45.0,3,1.9,6.9,30.13,0.0,26.49,25.98,25.9,22.4,1,0
831,7/5/2025,13,32.8,38.0,9,6.1,11.4,30.13,0.0,26.29,26.02,26.2,22.4,0,0
832,7/5/2025,14,32.3,42.0,9,7.2,12.7,30.11,0.0,26.44,27.07,25.8,22.7,0,0
833,7/5/2025,15,32.3,48.0,8,10.2,16.7,30.1,0.0,26.52,27.2,24.9,23.5,1,0
834,7/5/2025,16,30.9,52.0,9,11.8,18.9,30.09,0.0,26.45,27.01,24.3,24.5,0,0
835,7/5/2025,17,30.3,51.0,9,8.8,15.3,30.08,0.0,26.36,27.29,24.3,24.6,0,0
836,7/5/2025,18,29.8,51.0,9,8.3,13.5,30.08,0.0,25.8,27.8,24.2,23.7,0,0
837,7/5/2025,19,28.0,59.0,9,9.3,14.1,30.07,0.0,25.37,28.72,23.8,23.2,0,0
838,7/5/2025,20,25.8,64.0,9,8.7,12.1,30.07,0.0,25.63,28.55,23.9,23.1,0,0
839,7/5/2025,21,23.8,71.0,9,5.1,8.7,30.07,0.0,25.65,27.89,23.8,23.0,0,0
840,7/5/2025,22,22.4,77.0,9,3.6,6.3,30.08,0.0,25.64,28.02,23.7,22.9,0,0
841,7/5/2025,23,21.4,81.0,8,3.5,5.1,30.08,0.0,25.68,27.95,24.1,23.0,1,0
842,7/6/2025,0,20.9,84.0,8,5.2,7.8,30.08,0.0,25.71,27.36,23.1,23.0,1,0
843,7/6/2025,1,20.7,86.0,9,2.3,3.9,30.07,0.0,25.71,27.27,23.4,22.9,0,0
844,7/6/2025,2,19.9,87.0,9,1.9,3.3,30.06,0.0,25.9,26.41,24.2,22.9,0,0
845,7/6/2025,3,19.7,90.0,9,3.6,5.8,30.06,0.0,25.78,26.35,24.6,22.8,0,0
846,7/6/2025,4,19.6,91.0,10,2.2,4.3,30.06,0.0,25.58,26.7,25.5,22.6,0,0
847,7/6/2025,5,19.3,92.0,10,2.5,4.0,30.06,0.0,25.43,26.6,26.8,22.5,0,0
848,7/6/2025,6,18.9,92.0,9,1.8,2.9,30.06,0.0,25.33,26.62,25.6,22.6,0,0
849,7/6/2025,7,19.9,93.0,10,1.9,3.7,30.06,0.0,25.29,26.86,25.8,22.6,0,0
850,7/6/2025,8,22.7,88.0,9,4.1,6.3,30.07,0.0,25.13,27.46,25.9,22.6,0,0
851,7/6/2025,9,26.7,66.0,9,3.8,6.8,30.06,0.0,25.63,27.3,26.6,22.7,0,0
852,7/6/2025,10,30.7,51.0,8,6.3,10.4,30.06,0.0,25.93,26.94,26.6,22.7,1,0
853,7/6/2025,11,32.8,43.0,9,6.3,10.3,30.06,0.0,26.38,26.38,25.8,22.6,0,0
854,7/6/2025,12,33.2,48.0,8,8.6,14.6,30.05,0.0,26.45,26.22,26.1,22.6,1,0
855,7/6/2025,13,32.4,46.0,8,10.8,17.5,30.05,0.0,26.44,26.45,25.8,22.6,1,0
856,7/6/2025,14,32.5,48.0,9,8.5,15.7,30.02,0.0,26.46,26.59,25.4,22.6,0,0
857,7/6/2025,15,32.6,46.0,9,13.9,21.7,30.02,0.0,26.34,27.43,25.2,22.7,0,0
858,7/6/2025,16,32.6,47.0,9,11.6,17.0,30.0,0.0,26.73,27.37,24.9,23.0,0,0
859,7/6/2025,17,31.7,55.0,9,11.5,16.2,29.99,0.0,26.47,27.67,24.8,23.1,0,0
860,7/6/2025,18,29.6,66.0,9,9.6,14.7,29.98,0.0,26.64,27.67,24.9,23.3,0,0
861,7/6/2025,19,30.3,90.0,9,10.1,15.0,29.98,0.0,25.93,28.34,24.6,23.4,0,0
862,7/6/2025,20,26.7,81.0,9,7.3,11.1,29.98,0.0,24.2,29.22,24.6,23.5,0,0
863,7/6/2025,21,25.3,87.0,8,6.5,9.6,29.99,0.0,24.6,28.95,24.5,23.6,1,0
864,7/6/2025,22,24.7,90.0,8,6.7,10.6,29.99,0.0,25.78,28.17,24.6,23.6,1,0
865,7/6/2025,23,24.4,91.0,8,4.3,9.3,29.99,0.0,25.72,28.21,24.7,23.6,1,0
866,7/7/2025,0,24.3,92.0,9,7.7,11.2,29.99,0.0,26.05,27.76,24.9,23.4,0,0
867,7/7/2025,1,24.2,93.0,8,8.6,14.1,29.98,0.0,26.02,27.7,25.3,23.4,1,0
868,7/7/2025,2,24.1,93.0,8,6.7,9.8,29.97,0.0,26.01,27.89,25.9,23.4,1,0
869,7/7/2025,3,23.9,93.0,8,5.6,8.4,29.96,0.0,26.3,27.42,26.5,23.4,1,0
870,7/7/2025,4,24.2,92.0,9,5.7,8.6,29.95,0.0,26.1,27.41,26.8,24.0,0,0
871,7/7/2025,5,24.4,94.0,9,4.6,7.5,29.95,0.0,25.62,27.84,27.0,23.8,0,0
872,7/7/2025,6,24.6,94.0,8,6.0,8.5,29.95,0.0,25.2,28.18,27.1,23.3,1,0
873,7/7/2025,7,25.0,94.0,9,7.5,11.6,29.95,0.0,25.32,28.17,27.3,23.3,0,0
874,7/7/2025,8,25.6,93.0,8,8.4,13.8,29.96,0.0,25.66,27.9,27.3,23.3,1,0
875,7/7/2025,9,26.7,90.0,9,10.6,16.8,29.95,0.0,25.34,28.28,26.6,23.3,0,0
876,7/7/2025,10,28.4,83.0,8,10.9,16.6,29.94,0.0,25.41,28.38,26.1,23.3,1,0
877,7/7/2025,11,30.8,74.0,8,13.1,16.9,29.95,0.0,25.66,28.26,25.6,23.3,1,0
878,7/7/2025,12,30.7,74.0,9,11.6,17.0,29.94,0.0,26.03,28.13,25.4,23.4,0,0
879,7/7/2025,13,30.6,74.0,9,11.4,19.2,29.93,0.0,26.46,28.04,25.1,23.4,0,0
880,7/7/2025,14,30.8,74.0,9,13.1,20.3,29.92,0.0,26.72,27.95,25.8,23.6,0,0
881,7/7/2025,15,29.8,76.0,8,11.0,16.5,29.91,0.0,26.88,27.88,26.1,23.7,1,0
882,7/7/2025,16,29.8,75.0,8,11.3,17.1,29.9,0.0,26.7,28.24,26.3,23.9,1,0
883,7/7/2025,17,27.8,81.0,9,6.4,11.0,29.88,0.0,27.19,28.3,24.7,24.0,0,0
884,7/7/2025,18,27.4,83.0,9,5.8,11.4,29.86,0.0,27.07,28.39,24.9,24.2,0,0
885,7/7/2025,19,26.8,86.0,9,4.4,8.1,29.98,0.0,26.95,28.43,24.9,24.3,0,0
886,7/7/2025,20,25.9,89.0,9,2.8,5.0,29.86,0.0,26.55,28.76,26.1,24.4,0,0
887,7/7/2025,21,25.6,90.0,8,0.9,1.7,29.87,0.0,25.28,29.37,25.4,24.5,1,0
888,7/7/2025,22,25.2,91.0,8,0.1,0.9,29.88,0.0,26.23,28.77,25.1,24.4,1,0
889,7/7/2025,23,24.8,92.0,12,2.4,4.1,29.91,0.0,26.82,28.15,25.8,24.4,0,0
890,7/8/2025,0,24.6,93.0,11,1.5,3.4,29.9,0.0,26.73,27.86,26.1,24.3,0,0
891,7/8/2025,1,14.6,77.0,0,1.7,3.1,30.24,0.0,26.94,27.39,25.9,24.4,0,0
892,7/8/2025,2,14.1,79.0,0,1.6,3.3,30.22,0.0,27.14,26.99,25.9,24.3,0,0
893,7/8/2025,3,13.3,83.0,0,1.2,3.1,30.2,0.0,27.14,26.27,26.2,24.3,0,0
894,7/8/2025,4,11.8,86.0,0,2.8,3.1,30.21,0.0,27.08,26.18,26.1,24.3,0,0
895,7/8/2025,5,11.8,88.0,0,3.1,4.4,30.2,0.0,26.97,26.18,25.9,24.3,0,0
896,7/8/2025,6,11.1,89.0,0,2.3,4.0,30.22,0.0,26.68,26.42,26.3,24.3,0,0
897,7/8/2025,7,15.9,80.0,0,4.8,10.6,30.23,0.0,26.11,27.44,26.2,24.3,0,0
898,7/8/2025,8,18.3,69.0,0,7.9,13.1,30.24,0.0,26.04,28.04,26.9,24.2,0,0
899,7/8/2025,9,19.9,64.0,0,6.6,13.3,30.24,0.0,26.22,28.23,28.1,24.2,0,0
900,7/8/2025,10,20.6,61.0,0,7.7,17.0,30.24,0.0,26.51,27.87,29.4,24.2,0,0
901,7/8/2025,11,21.2,63.0,0,9.8,17.9,30.25,0.0,27.02,27.56,30.4,24.2,0,0
902,7/8/2025,12,21.0,68.0,0,8.8,14.7,30.25,0.0,27.71,27.04,30.3,24.3,0,0
903,7/8/2025,13,21.1,68.0,0,8.2,14.5,30.24,0.0,27.9,26.52,32.3,24.3,0,0
904,7/8/2025,14,21.2,68.0,0,8.3,13.8,30.24,0.0,29.05,25.58,32.4,24.5,0,0
905,7/8/2025,15,20.8,67.0,0,8.8,15.8,30.22,0.0,29.37,25.39,31.8,24.7,0,0
906,7/8/2025,16,20.7,64.0,0,8.9,16.6,30.24,0.0,29.5,25.55,30.1,24.7,0,0
907,7/8/2025,17,20.3,65.0,0,9.6,16.2,30.21,0.0,28.98,27.06,28.9,24.9,0,0
908,7/8/2025,18,20.0,68.0,0,9.2,17.2,30.2,0.0,28.64,27.62,28.2,25.1,0,0
909,7/8/2025,19,19.3,70.0,0,6.6,11.8,30.19,0.0,27.35,28.27,28.7,25.1,0,0
910,7/8/2025,20,19.2,70.0,0,8.3,14.7,30.19,0.0,27.61,28.42,27.6,25.2,0,0
911,7/8/2025,21,19.3,71.0,0,7.8,15.4,30.19,0.0,27.46,28.4,24.3,25.1,0,0
912,7/8/2025,22,19.3,73.0,0,9.4,15.6,30.18,0.0,27.17,28.35,23.8,25.1,0,0
913,7/8/2025,23,19.3,77.0,0,6.5,12.8,30.17,0.0,27.51,28.19,24.9,25.1,0,0
914,7/9/2025,0,19.4,78.0,0,7.0,12.3,30.16,0.0,27.22,27.93,25.3,25.0,0,0
915,7/9/2025,1,22.7,94.0,10,4.2,6.3,29.97,0.0,27.25,27.56,25.4,24.8,0,0
916,7/9/2025,2,22.6,94.0,10,4.2,7.7,29.96,0.0,27.22,27.28,25.5,24.5,0,0
917,7/9/2025,3,22.7,95.0,11,2.8,5.3,29.94,0.0,22.27,27.23,24.9,24.3,0,0
918,7/9/2025,4,22.7,95.0,10,3.6,5.2,29.95,0.0,27.38,26.88,24.4,24.3,0,0
919,7/9/2025,5,22.7,95.0,10,4.2,5.5,29.96,0.0,27.53,26.4,24.6,24.3,0,0
920,7/9/2025,6,22.7,95.0,11,2.3,4.2,29.97,0.0,27.43,26.31,24.9,24.2,0,0
921,7/9/2025,7,23.0,96.0,11,3.6,7.8,29.97,0.0,26.99,26.9,24.9,24.1,0,0
922,7/9/2025,8,23.9,95.0,11,3.9,7.4,29.98,0.0,26.4,27.79,24.9,24.1,0,0
923,7/9/2025,9,25.1,96.0,11,2.1,4.3,29.99,0.0,26.36,28.01,25.6,24.1,0,0
924,7/9/2025,10,26.7,88.0,10,2.9,4.6,29.99,0.0,26.32,28.18,26.4,24.2,0,0
925,7/9/2025,11,30.4,73.0,9,4.8,8.2,29.98,0.0,26.45,28.02,27.0,24.3,0,0
926,7/9/2025,12,33.4,62.0,9,4.6,7.3,29.98,0.0,27.25,27.59,27.1,24.5,0,0
927,7/9/2025,13,35.1,55.0,8,3.8,9.4,29.97,0.0,27.95,27.33,27.3,24.5,1,0
928,7/9/2025,14,34.2,62.0,8,7.4,10.9,29.96,0.0,27.99,27.38,28.2,24.7,1,0
929,7/9/2025,15,31.8,69.0,9,10.3,15.2,29.94,0.0,28.26,27.1,28.3,24.7,0,0
930,7/9/2025,16,31.3,69.0,8,9.1,15.5,29.92,0.0,28.17,27.08,27.6,24.9,1,0
931,7/9/2025,17,31.1,90.0,8,8.4,14.4,29.91,0.0,27.6,28.07,27.3,25.0,1,0
932,7/9/2025,18,30.8,71.0,9,9.4,18.2,29.91,0.0,28.03,28.07,27.0,25.1,0,0
933,7/9/2025,19,28.7,77.0,9,7.3,11.3,29.91,0.0,27.5,28.36,25.9,25.2,0,0
934,7/9/2025,20,27.6,92.0,9,8.0,11.3,29.92,0.0,26.29,28.71,26.6,25.2,0,0
935,7/9/2025,21,26.5,86.0,9,5.9,8.8,29.92,0.0,25.45,29.17,26.1,25.2,0,0
936,7/9/2025,22,26.1,88.0,9,5.0,7.6,29.91,0.0,23.57,29.63,25.4,25.2,0,0
937,7/9/2025,23,25.8,90.0,9,4.9,8.4,29.91,0.0,24.77,29.15,25.1,25.1,0,0
